Atot,Qex,L,wMax,wMin
449099.714293991,0.0420126353663191,1361.39213022637,397.90050188118,261.864901962184
659060.099332427,0.0685737018371107,2001.60384407423,437.502443425067,221.029564577997
1705501.92123806,0.0707024170792915,3412.39508794927,675.089703013813,324.502593470827
981098.666983808,0.0294097429998014,2585.94170220931,434.755233057014,324.038877533803
526535.727417602,0.0476593009269758,2126.86823410261,312.553728420119,182.57400819753
312581.436459383,0.0341816204918623,1518.48948280833,241.812877390282,169.887618396213
1111336.84043133,0.0892332689970937,2397.97002430842,656.22756309291,270.670462458382
370966.608633178,0.0453665954245375,2537.24905244137,207.992617258659,84.4237762177561
264417.223009594,0.0711674153614877,886.848287031059,419.723148456464,176.584533198525
809648.948631544,0.0635215444252156,2173.88335767838,484.992598378982,259.894606145383
1151724.25975405,0.0782505246877553,2560.89586787255,616.030869838184,283.438940084888
116753.453542872,0.0071758556057622,2030.26769684706,64.9094972701318,50.1033689880334
552540.822664406,0.0900523121590432,1777.09940092122,442.999893718622,178.84582000789
197847.60458114,0.0218649440847804,2389.61364328204,109.598283174478,55.9913343248635
257401.743740506,0.0126516015615911,1119.57490647511,243.748573811567,216.071921006263
393538.989358891,0.00416040991450412,2384.21297624766,170.497836024007,159.622831281692
774385.744688898,0.0266580595003886,1980.66152566234,440.343636504294,341.602935038203
849479.735962019,0.0732203668353323,2513.73920167029,464.996909832142,210.872516397572
83045.0930630497,1.75427178649851e-05,1515.42457294554,54.8135247763967,54.7862461995148
67706.0804644375,0.0211746824140718,528.949106443507,141.392079347808,114.610169789818
771488.284381734,0.0520539050344829,3049.26869552994,343.943744446238,162.071540800808
231857.004640019,0.0110615615207997,2099.9631075762,122.671144428874,98.1489297938873
1293612.31506283,0.053477711950206,3163.26578668922,523.157748860046,294.738945440036
194463.817617803,0.0781260721540602,1236.05638286392,222.116489646112,92.5355283584935
259593.039517594,0.00645804443322207,570.960550030065,578.786861238934,330.533544536648
370582.661027735,0.064956564517406,1639.37701328513,300.61147018145,151.490344135353
464040.57346957,0.022094493460465,2058.94811080376,253.73793653897,197.017059213129
824759.192974519,0.0415003704073676,3025.44819015506,345.960568372957,199.253985727372
630315.212932487,0.0265999918574837,2599.15452583064,283.243700261665,201.771874355662
196892.182645385,0.0258825301416021,2237.66351952622,117.920951926934,58.0591996260329
491100.901801647,0.0565012390226391,2301.74412507234,290.174996600379,136.545677042016
283176.815828121,0.0109863400930682,629.496792392857,590.098617181303,309.594023830268
559892.358774015,0.0198137203822916,2714.15998397182,236.331903493593,176.239471871455
664304.101982164,0.0282336997008742,1938.11979600289,388.775269354855,296.738704912579
425302.394217693,0.07066355115074,1886.17712144731,312.187426355559,138.780183612424
